year,median_household_income
1997,39037
1998,40690
1999,41466
2000,41220
2001,43279
2002,42704
2003,42262
2004,41922
2005,44085
2006,47159
2007,49977
2008,52391
2009,50577
2010,50437
2011,50924
2012,51298
2013,52533
2014,54230
2015,56670
2016,56415
2017,58664
